3 | 16/12/2019 12:36:39 | admin | 81.44.100.59 | websim | pyonbrowser_dummy_example | 81.44.100.59 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
4 | 16/12/2019 12:37:32 | admin | 81.44.100.59 | websim | pyonbrowser_dummy_example | 81.44.100.59 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
3 | 16/12/2019 13:06:01 | admin | 81.44.100.59 | websim | pyonbrowser_dummy_example | 81.44.100.59 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
5 | 500 Internal Server Error
3 | 16/12/2019 13:13:18 | admin | 81.44.100.59 | websim | pyonbrowser_dummy_example | 81.44.100.59 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
3 | 16/12/2019 13:14:04 | admin | 81.44.100.59 | websim | pyonbrowser_dummy_example | 81.44.100.59 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
3 | 16/12/2019 13:16:52 | admin | 81.44.100.59 | websim | cuadrado_drone_scratch | 81.44.100.59 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
4 | 16/12/2019 13:17:09 | admin | 81.44.100.59 | websim | cuadrado_drone_scratch | 81.44.100.59 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
3 | 16/12/2019 14:58:00 | admin | 81.44.100.59 | websim | pyonbrowser_dummy_example | 81.44.100.59 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
4 | 16/12/2019 14:58:11 | admin | 81.44.100.59 | websim | pyonbrowser_dummy_example | 81.44.100.59 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2 | 16/12/2019 15:42:04 | admin | 83.32.2.187 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36 OPR/65.0.3467.62
3 | 16/12/2019 20:17:53 | EvaFausto | 88.9.131.138 | simulator | introduccion_python | 212.128.255.74 | 178830c7ec9bd047f5d81bccf2a8efa915cfec9b606578ab4c672113f70bb969 | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
4 | 16/12/2019 20:19:39 | EvaFausto | 88.9.131.138 | simulator | introduccion_python | 212.128.255.74 | 178830c7ec9bd047f5d81bccf2a8efa915cfec9b606578ab4c672113f70bb969 | 
