2 | 28/11/2019 10:38:08 | ralvarezmar | 83.32.2.187 | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0
1 | 28/11/2019 10:38:15 | donperfecto | 83.32.2.187 | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0
4 | 28/11/2019 16:58:18 | ralvarezmar | 83.32.2.187 | websim | gatoraton_drone_scratch | 83.32.2.187 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36 OPR/65.0.3467.48
4 | 28/11/2019 16:59:01 | ralvarezmar | 83.32.2.187 | websim | gatoraton_drone_scratch | 83.32.2.187 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36 OPR/65.0.3467.48
3 | 28/11/2019 16:59:04 | ralvarezmar | 83.32.2.187 | websim | gatoraton_drone_scratch | 83.32.2.187 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36 OPR/65.0.3467.48
4 | 28/11/2019 16:59:10 | ralvarezmar | 83.32.2.187 | websim | gatoraton_drone_scratch | 83.32.2.187 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36 OPR/65.0.3467.48
3 | 28/11/2019 18:02:51 | admin | 81.44.100.244 | websim | cuadrado_drone_scratch | 81.44.100.244 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0
4 | 28/11/2019 18:03:24 | admin | 81.44.100.244 | websim | cuadrado_drone_scratch | 81.44.100.244 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0
3 | 28/11/2019 18:37:18 | AnonymusUser | 159.138.154.58 | websim | siguelinea_pibot_scratch_vision | 159.138.154.58 | [NO CONTAINER] Browser | Mozilla/5.0(Linux;U;Android 5.1.1;zh-CN;OPPO A33 Build/LMY47V) AppleWebKit/537.36(KHTML,like Gecko) Version/4.0 Chrome/40.0.2214.89 UCBrowser/11.7.0.953 Mobile Safari/537.36
3 | 28/11/2019 19:16:37 | AnonymusUser | 37.134.10.30 | websim | siguelinea_pibot_scratch_vision | 37.134.10.30 | [NO CONTAINER] Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1
4 | 28/11/2019 19:17:28 | AnonymusUser | 37.134.10.30 | websim | siguelinea_pibot_scratch_vision | 37.134.10.30 | [NO CONTAINER] Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1
3 | 28/11/2019 19:28:33 | AnonymusUser | 37.134.10.30 | websim | siguelinea_pibot_scratch_vision | 37.134.10.30 | [NO CONTAINER] Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1
4 | 28/11/2019 19:29:24 | AnonymusUser | 37.134.10.30 | websim | siguelinea_pibot_scratch_vision | 37.134.10.30 | [NO CONTAINER] Browser | Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1
