3 | 25/01/2020 08:11:46 | AnonymusUser | 112.83.171.132 | websim | siguelinea_pibot_scratch_vision | 112.83.171.132 | [NO CONTAINER] Browser | Mozilla/5.0 (Linux; Android 7.0; FRD-AL00 Build/HUAWEIFRD-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043602 Safari/537.36 MicroMessenger/6.5.16.1120 NetType/WIFI Language/zh_CN
1 | 25/01/2020 11:08:52 | Daniel | 82.158.65.60 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
3 | 25/01/2020 11:08:56 | Daniel | 82.158.65.60 | websim | cuadrado_drone_scratch | 82.158.65.60 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 25/01/2020 11:09:34 | Daniel | 82.158.65.60 | websim | cuadrado_drone_scratch | 82.158.65.60 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
3 | 25/01/2020 11:09:39 | Daniel | 82.158.65.60 | websim | follow_ball_drone_scratch | 82.158.65.60 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 25/01/2020 11:09:46 | Daniel | 82.158.65.60 | websim | follow_ball_drone_scratch | 82.158.65.60 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
3 | 25/01/2020 11:10:07 | Daniel | 82.158.65.60 | websim | siguelinea_f1_scratch_vision | 82.158.65.60 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 25/01/2020 11:10:39 | Daniel | 82.158.65.60 | websim | siguelinea_f1_scratch_vision | 82.158.65.60 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
3 | 25/01/2020 11:10:45 | Daniel | 82.158.65.60 | websim | siguelinea_pibot_scratch_ir | 82.158.65.60 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 25/01/2020 11:10:49 | Daniel | 82.158.65.60 | websim | siguelinea_pibot_scratch_ir | 82.158.65.60 | [NO CONTAINER] Browser | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
3 | 25/01/2020 11:11:23 | Daniel | 82.158.65.60 | simulator | sigue_linea_f1 | 212.128.254.198 | 313f1a7c75fbc363daadfcf67a005a41a843225790219e1e67a6c43d9f4ce45f | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 25/01/2020 11:12:27 | Daniel | 82.158.65.60 | simulator | sigue_linea_f1 | 212.128.254.198 | 313f1a7c75fbc363daadfcf67a005a41a843225790219e1e67a6c43d9f4ce45f | 
3 | 25/01/2020 11:32:26 | AnonymusUser | 207.46.13.242 | websim | siguelinea_pibot_scratch_vision | 207.46.13.242 | [NO CONTAINER] Browser | Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
3 | 25/01/2020 11:42:29 | EvaFausto | 88.9.131.138 | simulator | gato_raton | 212.128.254.198 | a1e8472b65fb215fd631b098577d65437a030af41f307c71d9018e6fd6310a6c | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 25/01/2020 11:43:53 | EvaFausto | 88.9.131.138 | simulator | gato_raton | 212.128.254.198 | a1e8472b65fb215fd631b098577d65437a030af41f307c71d9018e6fd6310a6c | 
3 | 25/01/2020 11:49:01 | EvaFausto | 88.9.131.138 | simulator | gato_raton | 212.128.254.198 | a4e6ce97e4e55cfc936d4daa8b469bf9dc3db01845b52754392a9cfec5db12e8 | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 25/01/2020 11:58:17 | EvaFausto | 88.9.131.138 | simulator | gato_raton | 212.128.254.198 | a4e6ce97e4e55cfc936d4daa8b469bf9dc3db01845b52754392a9cfec5db12e8 | 
3 | 25/01/2020 11:59:23 | EvaFausto | 88.9.131.138 | simulator | gato_raton | 212.128.254.198 | 257da53a535fc2b718a7f64716a95e0639a3d09807907abdfc99722c74a2d2ec | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 25/01/2020 12:11:16 | EvaFausto | 88.9.131.138 | simulator | gato_raton | 212.128.254.198 | 257da53a535fc2b718a7f64716a95e0639a3d09807907abdfc99722c74a2d2ec | 
3 | 25/01/2020 12:11:36 | EvaFausto | 88.9.131.138 | simulator | gato_raton | 212.128.254.198 | eb375dd96d69db3f0c4f1caf00c7b4d3ab6da27eb72c58e500f24837b714aeef | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36
4 | 25/01/2020 12:17:21 | EvaFausto | 88.9.131.138 | simulator | gato_raton | 212.128.254.198 | eb375dd96d69db3f0c4f1caf00c7b4d3ab6da27eb72c58e500f24837b714aeef | 
3 | 25/01/2020 12:32:29 | AnonymusUser | 94.130.34.225 | websim | sigue_linea_f1_python_websim | 94.130.34.225 | [NO CONTAINER] Browser | Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)
3 | 25/01/2020 12:32:54 | AnonymusUser | 94.130.34.225 | websim | siguelinea_pibot_scratch_vision | 94.130.34.225 | [NO CONTAINER] Browser | Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)
1 | 25/01/2020 13:16:35 | cesarmontemu | 87.101.90.128 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 25/01/2020 14:02:20 | d.valladaresv | 88.18.186.19 | simulator | sigue_pelota_picam | 212.128.254.198 | 7a8c8c4d27e168fe4251e48b77bad15b2fd36d4628d9f427e82b663a12feb825 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15
4 | 25/01/2020 14:03:36 | d.valladaresv | 88.18.186.19 | simulator | sigue_pelota_picam | 212.128.254.198 | 7a8c8c4d27e168fe4251e48b77bad15b2fd36d4628d9f427e82b663a12feb825 | 
3 | 25/01/2020 21:55:46 | AnonymusUser | 40.77.167.218 | websim | siguelinea_pibot_scratch_vision | 40.77.167.218 | [NO CONTAINER] Browser | Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
