3 | 04/02/2020 01:06:16 | AnonymusUser | 157.55.39.106 | websim | siguelinea_pibot_scratch_vision | 157.55.39.106 | [NO CONTAINER] Browser | Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
3 | 04/02/2020 03:43:30 | AnonymusUser | 112.87.124.162 | websim | sigue_linea_f1_python_websim | 112.87.124.162 | [NO CONTAINER] Browser | Mozilla/5.0(Linux;U;Android 5.1.1;zh-CN;OPPO A33 Build/LMY47V) AppleWebKit/537.36(KHTML,like Gecko) Version/4.0 Chrome/40.0.2214.89 UCBrowser/11.7.0.953 Mobile Safari/537.36
4 | 04/02/2020 11:04:47 | donperfecto | 193.147.79.189 | websim | follow_ball_pibot_scratch | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 11:05:56 | donperfecto | 193.147.79.189 | websim | siguelinea_f1_scratch_vision | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 11:06:02 | donperfecto | 193.147.79.189 | websim | siguelinea_f1_scratch_vision | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 11:07:01 | donperfecto | 193.147.79.189 | websim | chocagira_pibot_scratch | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 11:07:07 | donperfecto | 193.147.79.189 | websim | chocagira_pibot_scratch | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:20:39 | admin | 193.147.79.189 | websim | SSTel003 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:20:47 | admin | 193.147.79.189 | websim | SSTel003 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:21:53 | admin | 193.147.79.189 | websim | SSTel001 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:22:00 | admin | 193.147.79.189 | websim | SSTel001 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:22:03 | admin | 193.147.79.189 | websim | SSTel003 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:22:08 | admin | 193.147.79.189 | websim | SSTel003 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:22:11 | admin | 193.147.79.189 | websim | SSTel001 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:22:15 | admin | 193.147.79.189 | websim | SSTel001 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:22:18 | admin | 193.147.79.189 | websim | SSTel008 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:22:25 | admin | 193.147.79.189 | websim | SSTel008 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:22:28 | admin | 193.147.79.189 | real | SRTel010 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:22:34 | admin | 193.147.79.189 | real | SRTel010 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:22:44 | admin | 193.147.79.189 | real | PRTel021 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:22:50 | admin | 193.147.79.189 | real | PRTel021 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:23:02 | admin | 193.147.79.189 | websim | SSPib004 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:23:07 | admin | 193.147.79.189 | websim | SSPib004 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:23:12 | admin | 193.147.79.189 | websim | SSFo1005 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:23:18 | admin | 193.147.79.189 | websim | SSFo1005 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:23:23 | admin | 193.147.79.189 | websim | SSPib006 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:23:30 | admin | 193.147.79.189 | websim | SSPib006 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:23:35 | admin | 193.147.79.189 | websim | SSPib007 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:23:41 | admin | 193.147.79.189 | websim | SSPib007 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:23:50 | admin | 193.147.79.189 | websim | SSTel008 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:23:57 | admin | 193.147.79.189 | websim | SSTel008 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:24:07 | admin | 193.147.79.189 | websim | SSPib000 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:24:14 | admin | 193.147.79.189 | websim | SSPib000 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:24:32 | admin | 193.147.79.189 | websim | SSPib002 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:24:37 | admin | 193.147.79.189 | websim | SSPib002 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:24:45 | admin | 193.147.79.189 | real | PRMbo009 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:24:50 | admin | 193.147.79.189 | real | PRMbo009 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:25:03 | admin | 193.147.79.189 | websim | PSPib011 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:25:52 | admin | 193.147.79.189 | websim | PSPib011 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:26:05 | admin | 193.147.79.189 | websim | SSFo1012 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:26:13 | admin | 193.147.79.189 | websim | SSFo1012 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:26:18 | admin | 193.147.79.189 | real | SRMbo013 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
4 | 04/02/2020 12:26:23 | admin | 193.147.79.189 | real | SRMbo013 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
3 | 04/02/2020 12:26:30 | admin | 193.147.79.189 | websim | SSFo1014 | 193.147.79.189 | [NO CONTAINER] Browser | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0
